text,level,conf,height
,1,-1.0,662
,2,-1.0,162
,3,-1.0,162
,4,-1.0,52
Designing,5,96.824409,52
,4,-1.0,52
Machine,5,96.36898,41
Learning,5,96.460457,52
,4,-1.0,51
Systems,5,96.325813,51
,2,-1.0,74
,3,-1.0,74
,4,-1.0,17
An,5,91.950264,17
Iterative,5,89.27388,17
Process,5,96.986023,17
,4,-1.0,23
for,5,93.295792,18
Production-Ready,5,92.299522,23
,4,-1.0,23
Applications,5,96.088768,23
,2,-1.0,372
,3,-1.0,372
,4,-1.0,21
 ,5,95.0,21
,4,-1.0,318
   ,5,95.0,318
,4,-1.0,33
 ,5,95.0,33
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Chip,5,93.249916,21
Huyen,5,92.170395,20
