text,level,conf,height
,1,-1.0,842
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Philip,5,83.42897,8
K.,5,60.049263,6
Dick,5,34.314049,6
,2,-1.0,40
,3,-1.0,40
,4,-1.0,8
hie,5,29.79454,6
sought,5,68.051262,8
to,5,92.311218,6
detiver,5,85.397827,6
,4,-1.0,8
Sockety,5,41.614998,8
from,5,76.376137,6
the,5,93.474144,6
,4,-1.0,8
collapse,5,84.623604,8
and,5,92.887016,6
chace,5,76.708603,6
,4,-1.0,7
Of,5,75.863205,6
the,5,95.567726,6
world,5,71.600105,6
of,5,90.993408,6
2203,5,91.511932,7
,2,-1.0,42
,3,-1.0,42
,4,-1.0,8
Cyaleiem,5,0.0,8
,4,-1.0,8
2,5,60.022148,5
soclety,5,35.977966,8
in,5,72.310608,6
which,5,94.302673,6
the,5,96.707138,6
very,5,78.369095,7
concept,5,78.369095,8
of,5,95.688522,6
honesty,5,94.142151,8
has,5,87.464706,6
ceased,5,93.690208,6
to,5,95.26532,6
exist,5,92.158104,6
In,5,59.087944,6
,4,-1.0,9
the,5,96.039536,6
world,5,92.728462,6
of,5,94.745766,6
"2203,",5,71.99884,9
power,5,95.607376,7
and,5,95.013702,6
authority,5,96.225258,8
are,5,61.181419,5
distributed,5,93.897766,6
on,5,84.577858,5
a,5,95.748566,5
random,5,69.772705,6
"baeie,",5,14.876221,8
taken,5,95.149559,6
,4,-1.0,8
and,5,75.837921,6
Given,5,80.415497,7
ina,5,66.874382,6
chance,5,75.350555,6
manner,5,86.787666,5
that,5,76.068298,6
canfot,5,52.96048,6
be,5,96.480011,6
predicted,5,77.092407,8
,2,-1.0,30
,3,-1.0,30
,4,-1.0,8
"‘Then,",5,85.083588,8
"somehow,",5,86.68663,8
corruption,5,86.208633,8
sete,5,86.993248,6
in,5,69.911369,6
the,5,96.225464,6
supreme,5,79.147209,7
authority,5,93.08786,8
is,5,63.444611,6
undermined,5,73.846527,6
,4,-1.0,8
even’,5,41.690136,5
mare,5,41.690136,5
"disturbing,",5,90.238297,8
the,5,96.269463,6
principle,5,90.467415,8
Of,5,82.067146,6
randomness,5,44.615311,6
~,5,67.240433,1
the,5,96.75193,6
very,5,89.652237,7
foundation,5,89.652237,6
on,5,91.6978,5
watch,5,42.098488,6
,4,-1.0,8
this,5,77.052742,6
Civilization,5,26.872299,6
1e'bulit,5,3.728447,6
ie,5,68.07679,6
being,5,94.121162,8
exploited,5,96.520088,8
by,5,94.659698,8
a,5,88.379326,5
fanatical,5,94.340668,6
crackpot.,5,71.829559,8
,2,-1.0,393
,3,-1.0,99
,4,-1.0,8
THERE,5,67.824219,6
nad,5,72.62796,6
