text,level,conf,height
,1,-1.0,792
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
file:,5,3.518219,22
Phalep,5,0.0,22
20K,5,50.878906,6
Dick/Dick*%,5,23.905487,22
20Soar%20Latiery.txt,5,19.25386,5
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
eVersion,5,10.817375,6
1.0,5,47.395744,6
/,5,47.395744,8
tre,5,87.299171,5
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
copyright,5,12.695076,8
©,5,92.83268,6
1955,5,75.143021,6
,2,-1.0,44
,3,-1.0,44
,4,-1.0,8
crows,5,87.486771,4
over,5,90.447754,5
Sweden.,5,88.708603,6
A,5,88.708603,6
series,5,89.8116,5
of,5,93.168167,6
unexplained,5,89.923836,8
fires,5,88.907349,6
denolished,5,70.246964,6
helf,5,76.836639,6
the,5,91.498779,6
Oiseau-Lyre,5,75.056755,8
"Hill,",5,94.254196,7
a,5,87.139648,4
basic,5,81.867378,6
,4,-1.0,8
industrial,5,49.095642,6
pivot,5,60.086197,7
of,5,89.920776,6
the,5,96.382751,6
system.,5,61.406425,7
Small,5,81.649994,6
round,5,95.509209,6
stones,5,94.604713,5
fell,5,93.219528,6
near,5,74.244186,5
work-camp,5,24.890335,8
installations,5,94.043831,6
on,5,83.44722,5
Mara.,5,83.44722,6
At,5,81.892883,6
,4,-1.0,8
"Betavia,",5,23.884766,7
the,5,96.719833,6
Directorate,5,96.178757,6
of,5,93.114418,6
the,5,92.934692,6
nine-planet,5,78.563972,8
"Federation,",5,28.345802,7
¢,5,31.55027,4
two-headed,5,67.269501,6
Jersey,5,96.456505,8
calf,5,91.617455,6
was,5,83.828156,4
bora:,5,61.910286,6
a,5,85.162331,4
,4,-1.0,8
certain,5,89.996796,5
sign,5,51.35067,7
thet,5,91.133453,6
something,5,18.735931,8
of,5,91.071594,6
incredible,5,93.751831,6
magnitude,5,80.54557,8
waz,5,60.274635,4
Brewing,5,87.413399,8
,2,-1.0,20
,3,-1.0,20
,4,-1.0,8
forces,5,82.628799,6
of,5,92.70211,6
nature,5,94.957474,5
intended,5,95.492592,6
was,5,69.75956,4
a,5,94.186455,4
favorite,5,89.536041,6
pastine.,5,86.431702,7
Everybody,5,75.312866,8
"guessed,",5,91.081848,8
"consulted,",5,89.060486,7
and,5,90.836334,6
argued,5,93.24585,8
about,5,76.207024,6
,4,-1.0,8
the,5,92.9832,6
bottle-the,5,61.306602,6
secialized,5,87.05838,6
instrument,5,0.0,5
