text,level,conf,height
,1,-1.0,792
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
file,5,0.0,22
:Frah/Phalip,5,0.0,9
20K,5,53.260441,22
Dick/Dick*,5,42.753529,8
204%,5,35.768692,22
20Seanner/:20Darkly,5,0.0,8
xt,5,63.714462,5
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Copyright,5,72.111603,8
1977,5,94.397095,6
by,5,84.565475,8
Philip,5,28.652145,8
K.,5,56.099854,6
Dick,5,70.31958,6
,2,-1.0,32
,3,-1.0,32
,4,-1.0,8
ALL,5,63.505131,6
rights,5,75.951569,8
reserved,5,95.986694,6
under,5,96.617386,6
International,5,10.426559,6
and,5,92.869377,6
Pan-Asecican,5,33.397186,6
Copyright,5,73.262909,8
Conventions.,5,94.501549,6
Published,5,95.818253,6
in,5,92.425186,4
the,5,92.425186,6
,4,-1.0,8
Canada,5,78.363899,6
by,5,95.105339,8
Random,5,88.806854,6
House,5,89.708687,6
of,5,78.573456,6
Canada,5,89.680954,6
"Linited,",5,89.55056,7
Toronto.,5,50.06147,6
Originelly,5,73.09079,8
published,5,95.977875,8
by,5,96.358582,8
Doubleday,5,94.954124,8
4,5,34.977798,5
"Co.,",5,78.701965,7
"Ine.,",5,53.838348,7
,2,-1.0,80
,3,-1.0,80
,4,-1.0,8
Excerpt,5,89.974602,8
from,5,87.108856,6
"""The",5,91.063995,6
Other,5,93.654381,6
Side,5,96.544365,6
of,5,96.381149,6
the,5,96.777573,6
Brain:,5,67.879501,6
An,5,91.479362,6
Appositionsl,5,77.761932,8
"Mind""",5,77.009323,6
by,5,78.178596,8
Joseph,5,88.450989,8
£.,5,22.434296,6
"Bogen,",5,86.412193,8
"M.D-,",5,12.38707,7
which,5,92.532722,6
,4,-1.0,8
appeared,5,76.423706,8
in,5,86.945808,4
Bulletin,5,85.280807,7
of,5,96.442787,6
the,5,96.946426,6
Los,5,96.798935,6
Angeles,5,95.154594,8
Neurological,5,88.739594,8
"Societies,",5,0.0,7
Vol.,5,91.803986,6
"34,",5,93.068245,7
No.,5,95.29567,6
"3,",5,96.176323,7
July,5,95.353111,8
1969.,5,91.355896,6
Used,5,96.624298,6
,4,-1.0,8
by,5,84.230995,8
permission.,5,89.940399,7
Excerpt,5,92.369446,8
from,5,85.978699,6
"""The",5,85.978699,6
Split,5,96.20491,8
Brain,5,96.20491,6
in,5,90.31575,4
Han”,5,53.860088,6
by,5,95.712082,8
Michael,5,71.850883,6
S.,5,31.264381,6
