text,level,conf,height
,1,-1.0,841
,2,-1.0,156
,3,-1.0,156
,4,-1.0,156
  ,5,95.0,156
,2,-1.0,145
,3,-1.0,145
,4,-1.0,145
ham,5,37.339119,49
|,5,82.67366,1
,2,-1.0,622
,3,-1.0,6
,4,-1.0,6
§,5,0.0,6
,3,-1.0,361
,4,-1.0,361
:,5,53.065575,2
mE,5,14.050026,26
<2,5,41.839371,3
\e,5,30.998573,6
,3,-1.0,622
,4,-1.0,183
A,5,40.537037,13
[es,5,61.741402,23
=,5,50.968914,46
——,5,0.0,81
,4,-1.0,443
Ze,5,40.498119,15
Ao,5,37.646999,34
,4,-1.0,428
ve,5,4.925079,33
<i,5,0.0,79
wn,5,58.869667,33
,2,-1.0,511
,3,-1.0,511
,4,-1.0,511
         ,5,95.0,511
,2,-1.0,671
,3,-1.0,671
,4,-1.0,671
.,5,0.0,3
e/a,5,25.131592,252
Fa,5,26.595337,24
a,5,23.000633,106
ee,5,32.270439,61
a,5,22.290787,32
,2,-1.0,74
,3,-1.0,74
,4,-1.0,74
Zi,5,55.275406,74
,2,-1.0,290
,3,-1.0,290
,4,-1.0,290
<a,5,46.486053,114
8,5,1.50367,6
2a,5,24.702103,66
aa,5,33.930862,48
aa,5,45.605751,40
,2,-1.0,57
,3,-1.0,57
,4,-1.0,57
  ,5,95.0,57
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
