text,level,conf,height
,1,-1.0,500
,2,-1.0,77
,3,-1.0,93
,4,-1.0,12
PROM,5,65.475876,11
THE,5,96.639709,10
BESTSELLING,5,96.882294,10
AUTHOR,5,96.548691,10
OF,5,96.249084,10
A,5,96.249084,10
GAME,5,96.715027,10
OF,5,96.949173,10
THRONES,5,57.484512,12
,4,-1.0,16
;,5,0.0,2
{,5,40.219643,16
,4,-1.0,55
GEORGE,5,93.05407,55
R.R.,5,91.183182,48
,2,-1.0,90
,3,-1.0,90
,4,-1.0,90
>,5,3.106201,58
MARTIN,5,96.072784,90
,2,-1.0,78
,3,-1.0,87
,4,-1.0,78
THE,5,78.113205,76
LIGHT,5,86.349213,78
~,5,15.678627,12
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
UNABRIDGED,5,92.251266,12
@,5,87.28009,11
READ,5,96.834175,29
BY,5,95.998421,10
IAIN,5,95.998421,10
GLEN,5,96.439728,12
,2,-1.0,96
,3,-1.0,96
,4,-1.0,96
 ,5,95.0,96
 ,5,95.0,96
