text,level,conf,height
,1,-1.0,794
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
4,5,67.829308,4
‘valbl,5,9.600464,28
online,5,51.100342,28
at,5,51.100342,6
wir,5,24.982956,28
sclencedrectcom,5,24.982956,7
,2,-1.0,34
,3,-1.0,34
,4,-1.0,13
sovence,5,33.522583,5
Ghorneers,5,0.0,5
IGINEERING,5,29.563164,13
,4,-1.0,34
"""ed",5,72.416763,21
@,5,84.065674,22
TRUCTURES,5,16.446007,13
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
ELSEVIER,5,91.754585,8
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,32
,3,-1.0,32
,4,-1.0,16
Efficient,5,93.305458,12
three-dimensional,5,90.042603,12
seismic,5,96.802422,12
analysis,5,95.793213,16
of,5,96.944923,12
a,5,96.944923,8
high-rise,5,96.586121,16
building,5,95.990562,16
,4,-1.0,12
structure,5,95.658409,10
with,5,96.506203,12
shear,5,96.982285,12
walls,5,86.391373,12
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Hyun-Su,5,88.913071,12
"Kim,",5,13.455513,10
Dong-Guen,5,92.617599,12
"Lee**,",5,76.69278,9
Chee,5,87.975128,9
Kyeong,5,92.347809,12
Kim?,5,83.594543,12
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,16
,3,-1.0,16
,4,-1.0,7
Deparment,5,50.721512,7
of,5,55.292431,28
ec,5,52.084164,7
Engberg,5,30.039543,5
Sloan,5,17.111351,7
Ur,5,56.186428,5
Cham,5,52.215275,6
"dng,",5,52.215275,28
an,5,59.895645,7
Son,5,39.207916,4
074,5,57.234035,6
Rif,5,46.603271,7
ere,5,57.83165,7
,4,-1.0,14
armen),5,47.369987,28
rece,5,0.786636,6
Sma,5,4.708214,6
Ura,5,0.0,6
Tango,5,14.549416,7
an,5,32.405197,28
