text,level,conf,height
,1,-1.0,792
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
(GA,5,49.396152,7
CLEF,5,84.768234,6
DES,5,93.884811,6
GRANDS,5,45.262901,6
MYSTERES),5,64.001297,7
,2,-1.0,132
,3,-1.0,8
,4,-1.0,8
cReligion,5,41.225899,8
says:,5,47.236328,7
—--,5,27.578903,1
‘Believe,5,53.612473,6
ond,5,78.846909,6
you,5,95.222252,7
wilt,5,14.011826,6
"understand.""",5,0.0,6
setence,5,36.083023,6
,3,-1.0,110
,4,-1.0,8
At,5,30.42836,6
that,5,85.437088,6
monent,5,67.33371,6
the,5,88.475662,6
whole,5,93.244987,6
of,5,93.716682,6
science,5,59.732315,5
will,5,90.387527,6
change,5,95.343788,8
front),5,26.644958,7
the,5,87.576324,6
"apirit,",5,71.70639,8
,4,-1.0,8
0,5,62.887226,5
tong,5,51.06279,8
dethroned,5,94.029732,6
and,5,92.786179,6
"forgotten,",5,86.641716,8
will,5,90.663223,6
take,5,86.848618,6
its,5,82.843384,6
ancient,5,0.0,6
piece;,5,35.451477,8
it,5,61.047386,6
ill,5,63.231556,6
,4,-1.0,8
Baganism,5,53.427204,7
i,5,46.773037,5
only,5,89.387573,8
2,5,43.701206,5
systen,5,86.304153,8
of,5,96.369812,6
corrupted,5,95.255074,8
and,5,77.737961,6
misplaced,5,65.285179,8
"truths,",5,76.782303,7
thet,5,75.55014,6
it,5,71.633759,6
ie,5,35.968285,5
,4,-1.0,8
Subficient,5,0.0,6
to,5,93.300903,6
cleanse,5,93.300903,6
"then,",5,87.478157,7
30,5,39.186783,5
to,5,74.540237,6
"say,",5,84.746353,7
and,5,84.746353,6
to,5,87.945404,6
put,5,80.083961,8
then,5,80.678574,6
back,5,90.961357,6
again,5,88.475395,7
in,5,88.302925,5
,4,-1.0,8
their,5,60.764462,6
"place,",5,84.437477,8
to,5,76.102074,6
see,5,81.793236,5
then,5,66.547363,6
ahine,5,79.748322,6
with,5,96.013062,6
ail,5,74.721657,6
their,5,88.58651,6
reys.,5,60.655308,7
tn,5,51.479378,6
a,5,65.841743,5
"word,",5,78.901527,7
all,5,35.33007,6
,4,-1.0,8
ideas,5,26.977737,6
ill,5,70.77887,6
"chenge,",5,50.241928,8
and,5,93.32238,6
since,5,84.390305,5
on,5,90.770767,5
ell,5,70.373909,6
sides,5,92.611771,6
2,5,67.250168,5
multitude,5,82.717178,6
of,5,93.875641,6
the,5,93.875641,6
elect,5,58.72253,6
czy,5,58.536499,7
,4,-1.0,8
thenseives’,5,16.689926,6
forward,5,50.747944,6
into,5,82.864304,6
that,5,92.346306,6
majestic,5,91.401657,8
"future,",5,69.506699,7
and,5,88.6436,6
pride,5,92.926437,8
thenselves,5,68.327446,6
on,5,91.526009,5
,4,-1.0,8
having,5,72.938461,8
foreseen,5,86.315895,6
"st?""",5,26.960632,6
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
(J.,5,45.056782,7
De,5,60.334953,6
"Maistze,",5,47.740158,7
“Soiree,5,25.162292,6
de,5,94.190323,6
St.,5,91.995926,6
Petersbourg.7),5,0.0,8
,2,-1.0,110
,3,-1.0,63
