text,level,conf,height
,1,-1.0,612
,2,-1.0,96
,3,-1.0,96
,4,-1.0,23
"SYMBOLS,",5,96.596207,23
"SEX,",5,96.740814,23
,4,-1.0,21
AND,5,96.391853,17
THE,5,96.621269,18
STARS,5,96.869209,21
,4,-1.0,18
In,5,96.646965,13
Popular,5,95.131828,18
Beliefs,5,96.446747,14
,2,-1.0,79
,3,-1.0,9
,4,-1.0,9
‘An,5,68.660858,9
Outline,5,83.847717,9
of,5,96.878082,9
the,5,96.858711,9
,3,-1.0,13
,4,-1.0,13
Origins,5,90.170029,11
of,5,93.654106,9
Moon,5,94.10939,9
and,5,90.495674,9
Sun,5,90.495674,10
"Worship,",5,93.301498,12
Astrol-,5,91.400505,9
,3,-1.0,12
,4,-1.0,12
"ogy,",5,75.764114,9
Sex,5,88.284401,8
"Symbolism,",5,88.284401,11
Mystic,5,95.851952,11
Meaning,5,94.428024,12
of,5,96.659554,8
,3,-1.0,13
,4,-1.0,13
"Numbers,",5,92.590858,12
the,5,92.590858,9
"Cabala,",5,85.223518,11
and,5,96.449478,9
Many,5,95.48391,11
Popular,5,95.48391,12
,3,-1.0,24
,4,-1.0,13
"Customs,",5,95.212158,12
"Myths,",5,95.212158,12
Superstitions,5,84.647697,12
and,5,96.557121,9
Religious,5,96.557121,11
,4,-1.0,9
Beliefs.,5,5.837814,9
,2,-1.0,27
,3,-1.0,27
,4,-1.0,12
by,5,95.991875,12
,4,-1.0,9
ERNEST,5,93.279694,9
"BUSENBARK,",5,28.482407,9
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
 ,5,95.0,17
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
‘Mlstrations,5,13.243904,7
and,5,92.926544,7
Dizgroms,5,34.554413,9
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
The,5,96.091385,17
Book,5,94.780159,17
Tree,5,96.557327,17
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
San,5,96.960243,11
"Diego,",5,96.93676,15
California,5,96.782555,11
