text,level,conf,height
,1,-1.0,833
,2,-1.0,396
,3,-1.0,396
,4,-1.0,396
  ,5,95.0,396
,2,-1.0,218
,3,-1.0,218
,4,-1.0,30
zy,5,34.518723,30
Ya,5,7.367744,8
,4,-1.0,138
ae,5,26.188644,138
Aa,5,39.209076,21
,2,-1.0,187
,3,-1.0,187
,4,-1.0,67
FOUNDATIONS,5,96.664093,67
OF,5,97.009796,65
,4,-1.0,47
ENGINEERING,5,95.765213,47
,4,-1.0,47
GEOLOGY,5,95.838905,47
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
second,5,96.957787,21
edition,5,96.904022,21
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
Tony,5,96.804565,27
Waltham,5,96.695145,22
