text,level,conf,height
,1,-1.0,792
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,323
,3,-1.0,323
,4,-1.0,323
 ,5,95.0,323
,2,-1.0,28
,3,-1.0,28
,4,-1.0,28
ADDISON,5,96.89447,15
WESLEY,5,76.670074,15
Data,5,90.736679,15
&,5,90.736679,16
ANALYTICS,5,95.614326,15
SERIES,5,90.763374,16
wv,5,55.051712,28
,2,-1.0,225
,3,-1.0,225
,4,-1.0,44
FOUNDATIONS,5,96.237625,44
,4,-1.0,41
OF,5,96.137123,31
DEEP,5,96.293358,41
,4,-1.0,44
REINFORCEMENT,5,96.502441,44
,4,-1.0,44
LEARNING,5,96.435616,44
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
Theory,5,96.722221,27
and,5,96.116829,20
Practice,5,96.621597,19
in,5,96.583809,19
Python,5,96.724213,27
,2,-1.0,229
,3,-1.0,229
,4,-1.0,229
   ,5,95.0,229
,2,-1.0,49
,3,-1.0,49
,4,-1.0,49
@,5,85.454102,44
LAURA,5,92.977692,18
GRAESSER,5,90.818459,18
,4,-1.0,18
WAH,5,90.833412,18
LOON,5,90.833412,18
KENG,5,93.19474,18
