text,level,conf,height
,1,-1.0,702
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
The,5,96.846916,13
Complete,5,96.926819,17
Stories,5,96.031052,12
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
by,5,95.820808,11
Franz,5,89.004547,11
Kafka,5,91.794037,11
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
abe-book,5,48.354073,9
v3.0/,5,63.821152,8
Notes,5,63.821152,8
at,5,85.629852,7
the,5,94.572021,9
end,5,96.599426,9
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Back,5,96.870796,8
Cover:,5,91.361313,8
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
An,5,75.155891,8
important,5,96.046448,10
"book,",5,91.821686,10
valuable,5,96.983231,9
in,5,40.303612,6
itself,5,28.073334,9
and,5,28.073334,9
absolutely,5,96.583183,12
fascinating.,5,74.920914,12
..,5,90.776299,28
The,5,95.055412,9
stories,5,96.807533,7
are,5,96.7966,6
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
"dreamlike,",5,63.934132,10
"allegorical,",5,63.934132,12
"symbolic,",5,95.579468,12
"parabolic,",5,87.983147,12
"grotesque,",5,96.152946,10
"ritualistic,",5,18.602112,8
"nasty,",5,95.607338,10
"lucent,",5,91.178146,10
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,33
,3,-1.0,33
,4,-1.0,12
‘extremely,5,65.185486,12
"personal,",5,96.29409,12
ghoulishly,5,91.369423,12
"detached,",5,96.944695,10
exquisitely,5,94.243103,11
comic...,5,42.289982,6
numinous,5,73.322876,6
and,5,96.836716,9
,4,-1.0,12
prophetic.”,5,74.899857,12
-,5,66.6847,1
New,5,96.926819,8
York,5,96.654167,8
Times,5,96.778969,8
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
“The,5,89.026512,9
Complete,5,96.888725,28
Stories,5,89.577965,28
is,5,64.158859,6
an,5,95.185272,6
encyclopedia,5,95.907356,12
of,5,96.915459,9
our,5,90.949562,6
insecurities,5,87.328888,7
and,5,96.748001,9
our,5,78.821777,6
brave,5,88.141602,9
attempts,5,82.737297,10
to,5,94.795128,7
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
‘oppose,5,83.379135,9
"them.""",5,83.371307,8
--,5,77.576324,1
Anatole,5,93.24704,9
Broyard,5,85.147293,12
,2,-1.0,98
,3,-1.0,98
,4,-1.0,12
Franz,5,93.718788,8
Kafka,5,88.725983,9
wrote,5,91.709351,7
continuously,5,92.595032,12
and,5,96.963188,8
furiously,5,65.721756,12
throughout,5,65.721756,12
his,5,57.23267,8
short,5,57.23267,9
and,5,95.106819,9
,4,-1.0,12
intensely,5,86.977425,12
lived,5,74.339478,9
"lif,",5,76.18795,10
but,5,69.315193,9
only,5,96.212646,12
allowed,5,85.510918,9
a,5,62.041313,6
fraction,5,62.041313,9
of,5,94.408119,30
his,5,75.574188,9
work,5,94.445419,9
to,5,94.445419,7
be,5,96.573715,9
published,5,96.801079,12
during,5,87.629852,12
his,5,96.40255,8
,4,-1.0,12
lifetime.,5,65.630249,9
Shortly,5,95.018608,12
before,5,58.582176,9
his,5,76.612961,9
death,5,76.612961,9
atthe,5,86.933487,8
age,5,49.524914,9
of,5,49.524914,30
forty,5,73.17675,12
he,5,85.515053,9
instructed,5,85.515053,9
Max,5,87.571556,8
"Brod,",5,78.202667,10
his,5,54.134296,8
friend,5,54.134296,9
,4,-1.0,12
and,5,91.302574,8
literary,5,91.302574,11
"executor,",5,86.030144,8
to,5,90.734825,7
burn,5,73.687744,9
all,5,73.687744,9
his,5,70.01474,9
remaining,5,70.01474,9
works,5,82.813744,9
of,5,82.813744,30
fiction.,5,77.280006,9
"Fortunately,",5,86.967926,12
Brod,5,89.384354,9
,4,-1.0,12
disobeyed,5,73.983612,12
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Paget,5,13.776489,11
