text,level,conf,height
,1,-1.0,657
,2,-1.0,117
,3,-1.0,117
,4,-1.0,44
MUDRAS,5,91.523972,44
,4,-1.0,29
YOGA,5,96.819817,29
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
in,5,84.005524,15
your,5,84.005524,16
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
HANDS,5,96.774529,26
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
GERTRUD,5,91.66304,16
HIRSCHI,5,88.983871,16
,2,-1.0,20
,3,-1.0,20
,4,-1.0,7
SAMUEL,5,95.99379,7
R,5,39.062546,7
",",5,35.348976,28
INC,5,93.212509,7
,4,-1.0,7
York,5,67.552055,7
"Beach,",5,64.718323,7
Maine,5,93.963409,7
,2,-1.0,37
,3,-1.0,37
,4,-1.0,37
  ,5,95.0,37
