text,level,conf,height
,1,-1.0,842
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,278
,3,-1.0,278
,4,-1.0,278
Expressionism,5,96.475311,131
in,5,96.475311,15
Philosophy:,5,95.986359,110
,2,-1.0,70
,3,-1.0,70
,4,-1.0,70
Spinoza,5,95.908188,70
,2,-1.0,124
,3,-1.0,124
,4,-1.0,124
Gilles,5,96.606323,48
Deleuze,5,96.345726,64
,2,-1.0,66
,3,-1.0,66
,4,-1.0,66
 ,5,95.0,66
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
 ,5,95.0,27
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
