text,level,conf,height
,1,-1.0,792
,2,-1.0,110
,3,-1.0,110
,4,-1.0,18
THE,5,96.70546,18
UNTOLD,5,96.710167,18
STORY,5,96.496956,18
OF,5,96.600578,18
,4,-1.0,19
THE,5,96.932625,17
TEENAGERS,5,96.344246,19
AND,5,95.835693,17
,4,-1.0,19
OUTLAWS,5,96.479652,19
WHO,5,96.25267,18
HACKED,5,96.509888,18
,4,-1.0,18
MA,5,96.196312,18
BELL,5,96.342209,18
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
FOREWORD,5,96.461411,17
BY,5,96.938438,17
STEVE,5,96.777565,17
SAR,5,30.373718,38
,2,-1.0,792
,3,-1.0,792
,4,-1.0,792
 ,5,95.0,792
