text,level,conf,height
,1,-1.0,647
,2,-1.0,130
,3,-1.0,130
,4,-1.0,49
THE,5,73.559006,26
"""ausranucare",5,0.0,49
,4,-1.0,81
PHWSICS,5,35.668243,81
,2,-1.0,210
,3,-1.0,210
,4,-1.0,27
OF,5,96.931366,27
,4,-1.0,80
WALL,5,91.337456,80
,4,-1.0,53
STREET,5,96.418297,53
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
A,5,96.505493,14
Brief,5,96.505493,16
History,5,96.877136,19
of,5,96.873444,16
Predicting,5,96.077431,19
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
the,5,96.751221,16
Unpredictable,5,96.881485,21
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
JAMES,5,95.211273,22
OWEN,5,93.282455,22
WEATHERALL,5,92.127876,22
