text,level,conf,height
,1,-1.0,681
,2,-1.0,83
,3,-1.0,83
,4,-1.0,21
HERBICIDES,5,93.300217,21
-,5,93.130936,4
CURRENT,5,96.595673,21
,4,-1.0,21
RESEARCH,5,96.401505,21
AND,5,96.128197,21
CASE,5,96.930977,21
,4,-1.0,21
STUDIES,5,96.309052,21
IN,5,95.419533,21
USE,5,96.520805,21
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,34
,3,-1.0,34
,4,-1.0,18
Edited,5,96.818794,14
by,5,96.918716,18
Andrew,5,96.654297,14
J.,5,96.654297,13
Price,5,96.396591,13
,4,-1.0,14
and,5,95.581436,13
Jessica,5,95.581436,13
A.,5,96.864891,13
Kelton,5,95.249847,14
