text,level,conf,height
,1,-1.0,612
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
 ,5,95.0,18
,2,-1.0,35
,3,-1.0,35
,4,-1.0,35
R,5,88.382698,35
,2,-1.0,31
,3,-1.0,31
,4,-1.0,31
A,5,96.741013,23
Dictionary,5,95.795761,31
of,5,96.15097,39
,2,-1.0,120
,3,-1.0,120
,4,-1.0,120
SYMBOLS,5,96.427513,120
,2,-1.0,268
,3,-1.0,268
,4,-1.0,268
 ,5,95.0,268
,2,-1.0,59
,3,-1.0,59
,4,-1.0,59
a,5,55.725666,12
1.,5,0.0,42
E.,5,68.614868,53
CIRLOT,5,85.891113,45
.,5,19.950447,11
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,40
,3,-1.0,40
,4,-1.0,20
Also,5,96.83448,16
available,5,96.474846,16
as,5,96.733154,12
a,5,96.885353,12
printed,5,96.630386,20
book,5,96.537201,16
,4,-1.0,15
see,5,96.408501,11
title,5,96.148949,15
verso,5,96.560051,11
for,5,96.85218,15
ISBN,5,96.905525,15
details,5,93.582748,15
