text,level,conf,height
,1,-1.0,842
,2,-1.0,74
,3,-1.0,74
,4,-1.0,25
THE,5,96.554298,24
SECRET,5,95.996956,25
WISDOM,5,96.621422,25
,4,-1.0,30
OF,5,96.532745,25
THE,5,93.16082,24
QABALAH,5,92.433929,30
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
A,5,90.078995,9
Study,5,93.495918,10
in,5,96.103722,6
Jewish,5,96.103722,10
Mystical,5,96.817253,10
Thought,5,96.081573,12
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
41.,5,25.274734,7
F.C.,5,25.274734,7
PULLER,5,95.865814,7
,2,-1.0,42
,3,-1.0,42
,4,-1.0,42
  ,5,95.0,42
,2,-1.0,25
,3,-1.0,25
,4,-1.0,8
YOGA:,5,93.815475,7
A,5,95.267807,28
Study,5,92.094734,8
,4,-1.0,10
ofthe,5,84.959717,9
Brah,5,74.316742,8
,2,-1.0,23
,3,-1.0,23
,4,-1.0,8
The,5,88.097145,7
Beings,5,88.097145,7
who,5,96.452621,7
live,5,95.455444,7
"Below,",5,61.762573,7
say,5,81.429024,5
that,5,72.670807,7
God,5,82.35791,7
is,5,76.574577,5
on,5,76.574577,5
High:,5,93.237663,8
,4,-1.0,7
‘while,5,37.700699,7
the,5,37.700699,7
Angels,5,55.00721,28
in,5,55.00721,5
"Heaven,",5,52.829815,7
say,5,52.829815,5
that,5,84.355331,7
God,5,96.556046,7
is,5,71.171143,5
on,5,71.171143,5
"Earth,”-ZOHAR",5,32.693832,7
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
AGNZ,5,83.96582,8
