text,level,conf,height
,1,-1.0,800
,2,-1.0,314
,3,-1.0,314
,4,-1.0,314
   ,5,95.0,314
,2,-1.0,232
,3,-1.0,232
,4,-1.0,70
Uploaded,5,29.105751,70
By,5,92.366074,82
,4,-1.0,57
TGala,5,0.759499,57
A,5,91.160622,70
New,5,90.260353,56
Look,5,90.260353,56
At,5,85.889915,56
Life,5,85.889915,56
On,5,96.862656,57
Earth,5,96.134392,56
,4,-1.0,37
Brought,5,96.286598,37
To,5,96.990891,48
You,5,95.694733,48
By,5,95.694733,48
,2,-1.0,84
,3,-1.0,84
,4,-1.0,84
http:,5,71.94725,84
ww.nd-warez.into/,5,26.56134,67
,2,-1.0,62
,3,-1.0,70
,4,-1.0,62
wee,5,41.902309,70
tate,5,45.56884,3
i,5,36.053352,48
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
 ,5,95.0,17
