text,level,conf,height
,1,-1.0,675
,2,-1.0,200
,3,-1.0,200
,4,-1.0,91
    ,5,95.0,91
,4,-1.0,109
 ,5,95.0,109
,2,-1.0,80
,3,-1.0,80
,4,-1.0,33
TheéSéeds,5,28.806389,33
of,5,96.948395,32
,4,-1.0,39
Speech,5,96.884789,39
,2,-1.0,42
,3,-1.0,42
,4,-1.0,19
Language,5,96.211884,18
Origin,5,96.868492,19
,4,-1.0,16
and,5,96.564102,15
Evolution,5,96.307457,16
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
JEAN,5,96.599602,16
AITCHISON,5,96.208694,13
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
"se,",5,10.771019,12
,2,-1.0,159
,3,-1.0,167
,4,-1.0,95
cae,5,26.249603,95
,4,-1.0,35
a,5,72.255226,35
,2,-1.0,211
,3,-1.0,211
,4,-1.0,211
  ,5,95.0,211
