text,level,conf,height
,1,-1.0,537
,2,-1.0,17
,3,-1.0,17
,4,-1.0,7
THE,5,29.308174,7
NEW,5,29.308174,28
VISIONARY,5,72.127686,7
,4,-1.0,9
MASTERPIECE,5,53.572281,8
BY,5,90.760475,7
THE,5,91.827194,8
BESTSELLING,5,86.869957,9
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
‘THE,5,89.19368,9
CENTER,5,95.923294,9
OF,5,96.164299,28
THE,5,96.681183,28
CYCLONE,5,93.561363,10
,2,-1.0,28
,3,-1.0,28
,4,-1.0,28
QF,5,71.61747,28
GOD,5,91.950073,28
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
THe,5,68.98114,8
SCIENCE,5,90.706131,8
OF,5,95.660065,8
BELIEF,5,87.547104,8
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,144
,3,-1.0,144
,4,-1.0,144
 ,5,95.0,144
,2,-1.0,290
,3,-1.0,290
,4,-1.0,290
 ,5,95.0,290
,2,-1.0,335
,3,-1.0,335
,4,-1.0,335
 ,5,95.0,335
,2,-1.0,335
,3,-1.0,335
,4,-1.0,335
 ,5,95.0,335
