text,level,conf,height
,1,-1.0,658
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,322
,3,-1.0,322
,4,-1.0,322
 ,5,95.0,322
,2,-1.0,61
,3,-1.0,61
,4,-1.0,29
A,5,94.891441,23
Beginner's,5,0.0,29
Guide,5,95.755165,23
java,5,73.914635,20
,4,-1.0,24
Sixth,5,96.622467,24
Edition,5,96.423363,24
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
"Create,",5,96.528519,14
"Compile,",5,96.528519,16
and,5,96.570763,13
Run,5,96.853027,12
Java,5,96.973885,13
Programs,5,96.467529,16
Today,5,96.467529,16
,2,-1.0,32
,3,-1.0,32
,4,-1.0,32
Herbert,5,93.266914,16
Schildt,5,92.909485,16
1,5,9.105103,23
|,5,90.024963,25
