text,level,conf,height
,1,-1.0,667
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Lecture,5,90.034508,12
Notes,5,90.034508,12
in,5,96.287727,12
Physics,5,94.476196,17
,2,-1.0,104
,3,-1.0,104
,4,-1.0,20
Kristof,5,74.922867,20
T.,5,64.935425,34
Schiitt,5,85.152435,19
-,5,89.743637,3
Stefan,5,89.743637,20
Chmiela,5,93.003136,19
,4,-1.0,20
0.,5,95.303062,19
Anatole,5,96.055267,19
von,5,96.9319,14
Lilienfeld,5,96.950172,20
,4,-1.0,25
Alexandre,5,93.158638,19
Tkatchenko,5,91.04937,19
-,5,77.777481,3
Koji,5,96.40033,25
Tsuda,5,95.689865,19
,4,-1.0,19
Klaus-Robert,5,88.150085,19
Miller,5,67.259056,19
Editors,5,89.011246,19
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,240
,3,-1.0,240
,4,-1.0,47
Machine,5,96.315765,47
,4,-1.0,58
Learning,5,96.685089,58
Meets,5,96.969444,45
,4,-1.0,51
Quantum,5,95.798042,51
,4,-1.0,60
Physics,5,96.651573,60
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
a,5,82.945114,29
Springer,5,96.535522,31
