text,level,conf,height
,1,-1.0,666
,2,-1.0,666
,3,-1.0,666
,4,-1.0,666
   ,5,95.0,666
,2,-1.0,49
,3,-1.0,49
,4,-1.0,49
IN,5,88.483582,49
ACTIC,5,83.560867,49
,2,-1.0,40
,3,-1.0,40
,4,-1.0,18
G,5,85.561913,15
Ann,5,88.422897,15
Campbell,5,95.063606,18
,4,-1.0,18
Patroklos,5,93.014877,15
P.,5,90.082855,26
Papapetrou,5,88.957703,18
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Foreword,5,0.0,12
6y,5,42.807419,24
Olivier,5,96.826546,12
Gaudin,5,96.445831,12
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
MB,5,60.11528,20
vannins,5,0.0,10
