text,level,conf,height
,1,-1.0,488
,2,-1.0,228
,3,-1.0,228
,4,-1.0,228
yoseasay,5,5.742943,54
ssausnolosuod,5,0.0,91
ul,5,61.389889,10
saouRApY,5,0.0,58
,2,-1.0,79
,3,-1.0,79
,4,-1.0,17
At,5,95.467384,11
the,5,96.679405,12
boundary,5,96.694145,17
between,5,96.927742,13
"science,",5,96.98819,12
,4,-1.0,16
"philosophy,",5,95.640709,16
language,5,96.083466,16
and,5,93.335289,12
arts,5,81.71666,10
,4,-1.0,11
Edited,5,69.056641,9
by,5,90.038994,11
,2,-1.0,29
,3,-1.0,29
,4,-1.0,11
Gordon,5,93.188065,9
G.,5,91.622368,28
"Globus,",5,96.660095,10
Kar.,5,65.292648,9
Pribram,5,51.253223,10
,4,-1.0,12
and,5,84.80162,9
Giuseppe,5,92.956139,12
Vitiello,5,70.015381,9
,2,-1.0,62
,3,-1.0,62
,4,-1.0,62
 ,5,95.0,62
,2,-1.0,104
,3,-1.0,104
,4,-1.0,104
 ,5,95.0,104
