text,level,conf,height
,1,-1.0,613
,2,-1.0,74
,3,-1.0,74
,4,-1.0,25
IN,5,93.439758,24
DEFENSE,5,93.439758,25
,4,-1.0,25
OF,5,94.311501,25
FOOD,5,94.311501,25
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
AN,5,95.883392,9
EATER'S,5,1.749115,10
MANIFESTO,5,94.786179,10
,2,-1.0,310
,3,-1.0,310
,4,-1.0,310
 ,5,95.0,310
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
wy,5,22.343315,17
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
MICHAEL,5,96.719971,15
POLLAN,5,96.134811,15
,2,-1.0,28
,3,-1.0,28
,4,-1.0,28
THE,5,96.711555,7
OMNIVORE'S,5,60.574471,28
DILEMMA,5,96.295059,7
