text,level,conf,height
,1,-1.0,632
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
ge,5,38.222549,27
Microsoft,5,91.13932,17
,2,-1.0,81
,3,-1.0,81
,4,-1.0,81
start,5,95.399071,71
here!,5,79.806946,81
,2,-1.0,101
,3,-1.0,101
,4,-1.0,101
   ,5,95.0,101
,2,-1.0,213
,3,-1.0,35
,4,-1.0,35
Build,5,96.971428,35
,3,-1.0,168
,4,-1.0,58
Windows,5,96.300789,44
8,5,29.142578,42
Apps,5,29.142578,55
—,5,15.228493,66
_,5,20.397598,14
,4,-1.0,62
with,5,93.249802,45
HTML5,5,73.094368,42
and,5,0.0,62
,4,-1.0,57
JavaScript,5,96.176819,57
,2,-1.0,168
,3,-1.0,167
,4,-1.0,167
S)),5,24.11113,52
Beginner,5,96.616371,107
,4,-1.0,13
Fy,5,57.982159,13
,3,-1.0,10
,4,-1.0,10
3,5,28.171677,10
,3,-1.0,32
,4,-1.0,32
89,5,83.811714,32
,3,-1.0,10
,4,-1.0,10
8,5,30.793121,10
,3,-1.0,10
,4,-1.0,10
8,5,96.194939,10
,3,-1.0,33
,4,-1.0,33
33,5,78.181252,33
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
sposito,5,48.885674,29
