text,level,conf,height
,1,-1.0,612
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
HE,5,65.281364,24
Microsoft,5,96.433762,16
,2,-1.0,172
,3,-1.0,172
,4,-1.0,33
Windows,5,96.441475,33
8.1,5,96.344955,32
,4,-1.0,33
Administration,5,92.376022,33
,4,-1.0,44
"Storage,",5,96.621498,41
"Security,",5,96.304085,44
,4,-1.0,50
&,5,93.3022,49
Networking,5,96.378159,42
,2,-1.0,27
,3,-1.0,27
,4,-1.0,12
William:,5,66.688812,12
,4,-1.0,9
Author,5,94.794563,9
an,5,65.79995,28
,2,-1.0,205
,3,-1.0,205
,4,-1.0,205
  ,5,95.0,205
,2,-1.0,170
,3,-1.0,170
,4,-1.0,111
Pocket,5,96.765823,111
,4,-1.0,61
Consultant,5,96.66404,61
