text,level,conf,height
,1,-1.0,664
,2,-1.0,35
,3,-1.0,35
,4,-1.0,35
Minds,5,96.411911,27
and,5,96.784531,27
Computers,5,96.349579,35
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
An,5,94.911629,10
Introduction,5,94.833214,10
to,5,96.409645,10
the,5,96.105415,10
Philosophy,5,95.556755,13
of,5,96.746201,11
Artificial,5,96.436165,11
Intelligence,5,92.842911,13
,2,-1.0,460
,3,-1.0,460
,4,-1.0,460
 ,5,95.0,460
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Matt,5,96.196182,21
Carter,5,96.976883,21
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
