text,level,conf,height
,1,-1.0,500
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
O'REILLY’,5,50.710541,18
,2,-1.0,116
,3,-1.0,116
,4,-1.0,50
Monolith,5,95.376945,50
to,5,96.300278,44
,4,-1.0,50
Microservices,5,92.093536,50
,2,-1.0,43
,3,-1.0,43
,4,-1.0,22
Evolutionary,5,96.714851,22
Patterns,5,96.210724,17
to,5,95.13826,15
Transform,5,95.13826,18
,4,-1.0,18
Your,5,96.808258,17
Monolith,5,96.063416,18
,2,-1.0,279
,3,-1.0,279
,4,-1.0,279
   ,5,95.0,279
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Sam,5,96.475983,17
Newman,5,95.368271,17
