text,level,conf,height
,1,-1.0,726
,2,-1.0,150
,3,-1.0,150
,4,-1.0,76
DM®,5,22.138695,76
orccne,5,0.0,13
,4,-1.0,58
INTERSECTION,5,96.207474,58
,2,-1.0,431
,3,-1.0,431
,4,-1.0,81
'@oxR,5,0.0,81
,4,-1.0,61
~Y®,5,16.177933,61
tt,5,67.251709,60
,4,-1.0,84
mf,5,50.379253,84
dla,5,30.567413,61
tt,5,15.199966,61
,4,-1.0,92
A,5,58.808857,77
Be,5,22.561493,91
Qrerensz,5,0.0,82
"ccs,",5,0.0,58
,2,-1.0,74
,3,-1.0,74
,4,-1.0,74
MS,5,0.0,74
"BUSINESS,",5,96.752769,25
TECHNOLOGY,5,96.085304,44
,4,-1.0,21
AND,5,95.584633,21
PEOPLE,5,95.584633,21
