text,level,conf,height
,1,-1.0,648
,2,-1.0,49
,3,-1.0,49
,4,-1.0,22
Modern,5,96.844109,17
Enterprise,5,96.88868,22
Business,5,96.903404,17
,4,-1.0,22
Intelligence,5,96.533165,22
and,5,96.003334,17
Data,5,96.003334,17
Management,5,96.708839,22
,2,-1.0,38
,3,-1.0,38
,4,-1.0,19
ARoadmap,5,91.727234,19
for,5,91.820747,15
IT,5,91.820747,14
"Directors,",5,95.611725,17
"Managers,",5,96.646187,18
,4,-1.0,15
and,5,96.657013,15
Architects,5,88.839859,15
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Alan,5,89.692856,12
Simon,5,92.827477,12
,2,-1.0,52
,3,-1.0,52
,4,-1.0,52
 ,5,95.0,52
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
Retna,5,1.374527,36
,2,-1.0,43
,3,-1.0,43
,4,-1.0,43
 ,5,95.0,43
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
ELSEVIER,5,96.46431,9
