text,level,conf,height
,1,-1.0,987
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
Current,5,95.517776,18
Topics,5,95.908516,23
in,5,96.658905,18
Microbiology,5,96.791946,23
and,5,96.786392,18
Immunology,5,94.842758,23
349,5,95.674301,17
,2,-1.0,372
,3,-1.0,372
,4,-1.0,372
   ,5,95.0,372
,2,-1.0,67
,3,-1.0,67
,4,-1.0,28
Michael,5,96.758369,28
Karin,5,96.919235,27
,4,-1.0,28
Editor,5,95.739235,28
,2,-1.0,158
,3,-1.0,158
,4,-1.0,82
NF-KB,5,15.558914,82
in,5,92.788162,59
Health,5,96.659218,62
,4,-1.0,60
and,5,51.168446,60
Disease,5,96.787003,59
,2,-1.0,48
,3,-1.0,48
,4,-1.0,48
g),5,45.267544,48
Springer,5,96.836006,31
