text,level,conf,height
,1,-1.0,619
,2,-1.0,51
,3,-1.0,42
,4,-1.0,15
7%,5,60.40461,15
,4,-1.0,32
Pah,5,0.0,28
pedings,5,0.0,26
of,5,90.92662,15
the,5,92.034233,15
Toheku,5,91.684914,27
University,5,90.096794,18
,2,-1.0,55
,3,-1.0,55
,4,-1.0,37
medical,5,92.133942,26
Eee,5,36.95713,33
,4,-1.0,15
search,5,77.076233,14
Network,5,94.470154,14
Centre,5,93.379837,15
,2,-1.0,42
,3,-1.0,42
,4,-1.0,42
v,5,90.017395,14
Pu,5,19.746895,42
,2,-1.0,364
,3,-1.0,364
,4,-1.0,364
  ,5,95.0,364
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Editor,5,37.805183,9
,2,-1.0,32
,3,-1.0,32
,4,-1.0,14
‘Takami,5,91.038872,11
"YAMAGUCHI,",5,96.41169,14
MD,5,96.41169,11
PhD,5,58.798084,12
,4,-1.0,12
‘School,5,92.148529,8
of,5,96.958458,9
Biomedical,5,95.924034,8
"Engineering,",5,89.060822,12
Tohoku,5,85.785881,10
University,5,94.702507,11
,2,-1.0,145
,3,-1.0,145
,4,-1.0,145
 ,5,95.0,145
