text,level,conf,height
,1,-1.0,734
,2,-1.0,710
,3,-1.0,710
,4,-1.0,122
  ,5,95.0,122
,4,-1.0,106
 ,5,95.0,106
,4,-1.0,147
  ,5,95.0,147
,4,-1.0,265
 ,5,95.0,265
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,205
,3,-1.0,170
,4,-1.0,100
Neurochemistry,5,96.780289,100
,4,-1.0,142
Abused,5,95.561249,142
Drugs,5,95.92572,57
,2,-1.0,106
,3,-1.0,98
,4,-1.0,45
ee,5,22.005135,44
a,5,19.11393,35
atin,5,48.421135,31
,4,-1.0,83
SIN,5,56.358334,83
B.,5,88.925316,21
"KARCH,",5,92.005104,25
i,5,30.942909,45
aa,5,11.674713,45
,4,-1.0,19
Qa,5,43.413715,19
,2,-1.0,176
,3,-1.0,176
,4,-1.0,142
   ,5,95.0,142
,4,-1.0,34
 ,5,95.0,34
,2,-1.0,688
,3,-1.0,688
,4,-1.0,688
 ,5,95.0,688
