text,level,conf,height
,1,-1.0,648
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Neurodevelopmental,5,91.293182,15
Effects,5,96.471863,12
of,5,93.290199,12
Aleohol,5,83.085838,12
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
THOMAS,5,93.270218,7
M.,5,67.395706,7
BURBACHER,5,74.761124,7
AND,5,64.050987,7
KIMBERLY,5,83.994415,7
"8,",5,34.281471,7
GRANT,5,96.691574,7
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
1.,5,30.225471,6
inTRopucTION,5,47.664604,7
,2,-1.0,284
,3,-1.0,212
,4,-1.0,9
‘The,5,75.527519,7
goal,5,52.280048,9
ofthis,5,52.280048,7
chapter,5,49.029549,9
isto,5,66.605499,6
provide,5,67.640602,9
an,5,96.901573,5
overview,5,91.627998,5
of,5,74.749481,7
the,5,74.749481,7
developmental,5,84.310921,9
,4,-1.0,9
effets,5,75.050255,7
of,5,61.854645,28
prenatal,5,81.729942,28
exposure,5,85.172035,28
to,5,61.814877,6
alcohol,5,28.172272,7
in,5,28.172272,5
the,5,55.103378,7
forms,5,55.103378,7
of,5,86.809517,28
ethanol,5,81.194511,7
ad,5,79.273201,7
methanol.,5,85.097641,7
,4,-1.0,7
All,5,74.406052,7
alcohols,5,65.623863,7
ave,5,77.845551,7
a,5,82.237747,5
similar,5,74.744568,7
chemical,5,71.187698,7
"structure,",5,71.187698,6
The,5,94.039803,7
three,5,64.72905,7
most,5,86.120544,6
commonly,5,71.38382,7
,4,-1.0,9
‘known,5,30.740921,28
alcohols,5,70.260635,28
are,5,70.260635,5
ethyl,5,40.706787,9
alcohol,5,40.706787,7
ethanol),5,70.682663,9
meth,5,37.16003,28
alcoho!,5,64.64521,28
"(methanol,",5,55.57328,8
and,5,55.57328,7
,4,-1.0,9
Jsopropstaleohol,5,0.0,9
(isopropanol.,5,5.804939,9
sopropanol,5,66.586868,9
is,5,75.193039,5
better,5,75.193039,7
known,5,76.713272,7
as,5,95.942589,5
rubbing,5,90.2799,9
,4,-1.0,9
"alcohol,",5,39.475098,7
«,5,62.604851,5
common,5,88.393532,5
item,5,56.971394,6
in,5,60.17065,28
most,5,91.421021,6
American,5,83.2211,7
Homes.,5,67.272308,7
Human,5,96.440643,7
exposures,5,88.705681,8
£0,5,44.497646,28
,4,-1.0,9
toric,5,66.610031,6
levels,5,53.899273,7
of,5,53.899273,7
isopropanol,5,67.098877,9
are,5,67.098877,5
uncommon,5,94.478783,5
and,5,90.812355,7
have,5,96.630646,7
not,5,96.034943,6
been,5,71.881836,7
reported,5,50.822601,9
in,5,71.285805,5
,4,-1.0,9
pregnant,5,69.322601,7
"women,",5,66.122833,5
Health,5,79.324303,7
effects,5,56.197109,7
data,5,61.933105,7
from,5,90.662056,7
animal,5,70.343109,7
studies,5,33.092911,7
suggest,5,55.952599,8
tht,5,55.952599,7
io,5,62.700058,5
,4,-1.0,9
Dropanol,5,9.639816,9
has,5,96.516678,7
low,5,91.50074,7
acute,5,94.042206,5
and,5,96.113441,7
chronic,5,56.347229,7
toxicity,5,58.935379,8
and,5,80.670296,7
is,5,95.573837,5
not,5,77.022476,5
a,5,88.037743,5
tratogen,5,52.786896,8
or,5,94.000938,5
,4,-1.0,9
Aevelopmental,5,0.0,9
nerotoxicant,5,69.984375,9
(Kapp,5,93.564987,28
et,5,72.732445,28
al,5,64.091843,28
"1996),",5,73.158188,8
Most,5,55.991516,7
esearch,5,55.991516,7
on,5,94.733047,28
the,5,46.690937,7
fetal,5,46.690937,7
,4,-1.0,9
fffets,5,24.562462,7
of,5,93.495857,7
matemal,5,48.484207,7
alcohol,5,42.592232,7
exposure,5,42.592232,7
has,5,49.422836,7
facused,5,39.498177,7
on,5,95.424835,5
the,5,87.758453,7
compounds,5,72.637466,9
chanel,5,51.1073,7
,4,-1.0,9
and,5,37.908836,7
methanol.,5,87.461906,7
The,5,83.464783,7
physical,5,68.595711,9
chemical,5,83.604225,7
properties,5,41.136189,8
of,5,61.757538,7
these,5,92.511124,7
Wo,5,56.897015,6
agents,5,94.693115,7
are,5,95.383553,5
,4,-1.0,9
Aisplayed,5,43.127777,9
in,5,59.421154,5
Table,5,60.747181,7
Methanol,5,59.40247,7
"(H,C-OF),",5,31.477455,8
a,5,56.811333,5
component,5,64.515045,7
of,5,64.515045,7
many,5,96.207169,7
products,5,78.635719,9
,4,-1.0,9
including,5,62.985245,9
alternative,5,53.924717,7
motor,5,96.855324,6
"fuels,",5,81.547585,7
"antireeze,",5,32.507217,7
glass,5,58.500832,9
"cleaner,",5,83.604897,7
"pains,",5,87.866989,8
and,5,95.413994,7
,4,-1.0,9
‘arnshes,5,40.29731,7
isthe,5,82.926514,7
simplest,5,53.244228,9
alcohol,5,53.244228,7
with,5,60.014626,7
chain,5,80.235802,7
consisting,5,75.22393,8
ofa,5,84.715942,7
carbon,5,89.330482,7
atom,5,92.422424,5
,4,-1.0,9
‘vith,5,59.222565,7
tte,5,58.578892,28
hydrogen,5,56.559196,9
atoms,5,45.509613,28
attached.,5,74.765587,9
Ethanol,5,52.812382,7
"(H,C-CHy",5,39.872787,28
"OH),",5,17.299507,8
the,5,77.188705,28
psycho-,5,49.151642,9
,4,-1.0,9
active,5,55.15432,6
ingredient,5,35.306732,9
in,5,63.926632,5
alcoholic,5,76.957298,7
beverages,5,61.510384,9
that,5,61.510384,7
results,5,59.172943,7
in,5,49.28376,5
"intoxication,",5,49.28376,6
has,5,92.246788,7
&,5,60.953842,5
,4,-1.0,9
‘hain,5,47.129028,7
that,5,47.129028,7
evo,5,30.496506,5
times,5,58.814667,9
as,5,58.488735,28
fon.,5,58.488735,9
,3,-1.0,69
,4,-1.0,9
‘While,5,36.771225,7
similar,5,36.771225,7
exposure,5,67.873299,7
scenarios,5,63.301727,5
exist,5,63.081291,6
fr,5,63.081291,7
these,5,54.267418,7
two,5,54.267418,6
compounds,5,86.081284,9
(occups,5,9.371407,8
,4,-1.0,9
sional,5,65.752411,7
"exposure,",5,68.386032,7
intentional,5,67.116913,7
"ingestion),",5,51.094933,9
the,5,66.97937,7
primary’,5,75.85022,7
routes,5,57.029919,6
of,5,57.029919,28
exposure,5,71.397293,9
that,5,71.397293,7
,4,-1.0,9
are,5,56.410633,5
elated,5,46.958023,7
to,5,46.958023,6
developmental,5,62.042194,9
effect,5,62.042194,7
are,5,66.928932,5
quit,5,66.928932,8
diferent.,5,29.922874,7
Ethanol,5,66.073914,7
an,5,67.612671,5
ancient,5,88.224899,6
,4,-1.0,9
rug,5,5.246368,9
that,5,67.531799,7
is,5,67.531799,5
widely,5,61.764629,9
accepted,5,57.566219,9
throughout,5,57.566219,9
the,5,61.393631,7
"word,",5,45.101288,8
consumed,5,45.101288,7
inthe,5,84.609581,7
form,5,83.591904,7
of,5,60.112984,7
,4,-1.0,9
alcoholic,5,17.533302,7
beverages,5,78.752167,9
to,5,58.255302,6
achieve,5,58.255302,7
a,5,55.714645,5
pleasant,5,55.714645,9
state,5,65.872017,6
of,5,65.872017,7
euphoria,5,46.961521,9
or,5,79.887321,5
relaxation,5,50.854836,7
,4,-1.0,9
“Although,5,75.065384,9
women,5,96.382607,5
working,5,56.723732,9
in,5,63.564842,5
professions,5,63.377472,28
such,5,69.61721,7
as,5,72.879105,5
"ures,",5,5.706215,5
"assemblers,",5,20.732056,7
"janitors,",5,50.025997,8
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
 ,5,95.0,26
