text,level,conf,height
,1,-1.0,535
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
@WILEY,5,75.28418,16
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
J.,5,92.054214,10
RICK,5,96.164688,9
TURNER,5,96.929993,9
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
"Design,",5,96.941307,18
"Methodology,",5,96.373657,18
and,5,92.587204,13
Analysis,5,92.587204,17
,2,-1.0,302
,3,-1.0,302
,4,-1.0,302
 ,5,95.0,302
,2,-1.0,535
,3,-1.0,535
,4,-1.0,535
 ,5,95.0,535
,2,-1.0,535
,3,-1.0,535
,4,-1.0,535
 ,5,95.0,535
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
