text,level,conf,height
,1,-1.0,709
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
 ,5,95.0,12
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
@),5,69.824692,38
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
CRC,5,95.457901,14
PRESS,5,96.555038,13
,2,-1.0,94
,3,-1.0,94
,4,-1.0,42
NICOTINIC,5,48.148422,41
RECEPTORS,5,82.739067,41
,4,-1.0,42
IN,5,96.766304,39
THE,5,93.741272,40
NERVOUS,5,92.638878,42
SYSTEM,5,95.906967,41
,2,-1.0,158
,3,-1.0,158
,4,-1.0,44
i,5,18.643143,28
d,5,0.0,28
,4,-1.0,90
:,5,6.768555,4
sy,5,8.931717,90
G,5,43.853016,13
,2,-1.0,60
,3,-1.0,60
,4,-1.0,60
 ,5,95.0,60
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
Edited,5,80.2957,17
by,5,96.958084,21
Edward,5,93.258789,20
D.,5,92.957741,18
Levin,5,96.590515,18
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
 ,5,95.0,10
