text,level,conf,height
,1,-1.0,613
,2,-1.0,66
,3,-1.0,66
,4,-1.0,13
Cultural,5,86.591599,13
Memory,5,96.837875,12
,4,-1.0,25
he,5,47.504196,11
eee,5,4.042236,23
,4,-1.0,10
Present,5,83.704514,10
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
Mick,5,72.912292,7
Ha,5,54.465424,6
a,5,67.049744,4
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,56
,3,-1.0,56
,4,-1.0,30
The,5,96.853424,23
Reality,5,96.853424,30
of,5,96.992111,23
the,5,96.98658,23
,4,-1.0,24
Mass,5,96.508812,22
Media,5,96.395241,24
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Niklas,5,93.29583,15
Luhmann,5,90.302193,16
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Translated,5,96.850334,12
by,5,94.112167,16
Kathleen,5,87.57489,12
Cross,5,95.054848,12
,2,-1.0,28
,3,-1.0,28
,4,-1.0,11
Stanford,5,96.878502,11
Univer,5,95.028877,10
,4,-1.0,12
"Stanford,",5,93.02359,12
C:,5,31.378242,10
,2,-1.0,26
,3,-1.0,26
,4,-1.0,11
ity,5,68.874542,11
Press,5,86.67572,10
,4,-1.0,11
fornia,5,95.103912,11
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
  ,5,95.0,22
