text,level,conf,height
,1,-1.0,899
,2,-1.0,278
,3,-1.0,278
,4,-1.0,82
  ,5,95.0,82
,4,-1.0,196
   ,5,95.0,196
 ,5,95.0,35
,2,-1.0,45
,3,-1.0,45
,4,-1.0,18
Nutrition,5,96.722145,17
and,5,95.706123,18
Health,5,96.673882,17
,4,-1.0,18
Series,5,96.884346,18
Editor:,5,96.957024,17
Adrianne,5,92.531555,18
Bendich,5,93.107719,18
,2,-1.0,70
,3,-1.0,70
,4,-1.0,34
Nathan,5,87.085312,26
S.,5,87.085312,26
Bryan,5,95.042175,34
,4,-1.0,33
Joseph,5,89.577904,33
Loscalzo,5,89.577904,27
Editors,5,90.378876,27
,2,-1.0,37
,3,-1.0,37
,4,-1.0,37
3\¢,5,63.54435,37
Humana,5,96.533485,31
Press,5,96.657265,23
