text,level,conf,height
,1,-1.0,842
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,730
,3,-1.0,730
,4,-1.0,730
 ,5,95.0,730
,2,-1.0,31
,3,-1.0,31
,4,-1.0,31
 ,5,95.0,31
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,572
,3,-1.0,572
,4,-1.0,572
 ,5,95.0,572
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
Martin,5,93.261353,18
Kleppmann,5,91.809563,23
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,730
,3,-1.0,730
,4,-1.0,730
 ,5,95.0,730
