text,level,conf,height
,1,-1.0,662
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
 ,5,95.0,9
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
An,5,96.036507,9
Introduction,5,96.499146,10
to,5,96.755821,8
Network,5,93.302628,10
Design,5,93.302628,10
with,5,93.612343,10
Switches,5,96.262756,8
,2,-1.0,81
,3,-1.0,81
,4,-1.0,81
Ethernet,5,96.768707,113
,2,-1.0,540
,3,-1.0,540
,4,-1.0,540
   ,5,95.0,540
,2,-1.0,31
,3,-1.0,31
,4,-1.0,16
Charles,5,93.306145,12
E.,5,75.534721,11
Spurgeon,5,93.276985,14
&,5,91.056717,11
,4,-1.0,12
Joann,5,96.388031,12
Zimmerman,5,96.550476,11
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
O’REILLY*,5,0.0,18
