text,level,conf,height
,1,-1.0,662
,2,-1.0,69
,3,-1.0,69
,4,-1.0,69
Eithernet,5,26.111237,69
,2,-1.0,32
,3,-1.0,32
,4,-1.0,32
The,5,96.266968,31
Definitive,5,96.529106,32
Guide,5,96.581291,32
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
DESIGNING,5,95.790817,10
AND,5,95.722214,10
MANAGING,5,95.722214,10
LOCAL,5,96.801338,10
AREA,5,96.891891,10
NETWORKS,5,96.455307,10
,2,-1.0,540
,3,-1.0,540
,4,-1.0,540
 ,5,95.0,540
,2,-1.0,40
,3,-1.0,40
,4,-1.0,20
Charles,5,93.244232,16
E.,5,75.921928,15
Spurgeon,5,75.921928,20
&,5,92.866692,16
,4,-1.0,16
Joann,5,96.960876,15
Zimmerman,5,96.143196,16
