text,level,conf,height
,1,-1.0,662
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
O'REILLY,5,52.540886,18
,2,-1.0,59
,3,-1.0,59
,4,-1.0,59
Getting,5,96.590004,59
~,5,53.533321,32
,2,-1.0,204
,3,-1.0,204
,4,-1.0,74
Started,5,96.810692,39
with,5,93.278419,39
\,5,92.99231,48
,4,-1.0,58
Bluetooth,5,93.158905,58
‘\“f,5,7.538589,40
,4,-1.0,71
Low,5,96.047234,57
Energy,5,96.174171,71
,2,-1.0,488
,3,-1.0,488
,4,-1.0,488
 ,5,95.0,488
,2,-1.0,41
,3,-1.0,41
,4,-1.0,19
Kevin,5,96.836929,16
"Townsend,",5,96.46476,19
Carles,5,91.899147,17
"Cufi,",5,91.188919,19
,4,-1.0,17
Akiba,5,93.028084,17
&,5,93.028084,16
Robert,5,96.933578,17
Davidson,5,96.174965,17
