text,level,conf,height
,1,-1.0,662
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
"Science,",5,92.940849,11
"Math,",5,80.832497,11
and,5,96.915565,12
Code,5,96.575706,12
for,5,93.867531,15
Realistic,5,93.867531,12
Effects,5,91.340218,14
,2,-1.0,258
,3,-1.0,258
,4,-1.0,258
 ,5,95.0,258
,2,-1.0,107
,3,-1.0,107
,4,-1.0,107
 ,5,95.0,107
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
David,5,93.304832,12
M.,5,90.803223,11
Bourg,5,96.743324,15
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
O’REILLY*,5,6.927628,18
&,5,85.003189,11
Bryan,5,93.280296,15
Bywalec,5,93.061279,13
