text,level,conf,height
,1,-1.0,662
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Best,5,96.962013,10
Practices,5,96.781219,10
for,5,96.960258,13
Setting,5,77.919197,12
Up,5,96.99015,14
Your,5,96.99015,10
Customer,5,96.919205,9
Service,5,92.110359,8
Platform,5,96.134048,13
,2,-1.0,175
,3,-1.0,175
,4,-1.0,47
Practical,5,96.67878,47
,4,-1.0,47
Zendesk,5,92.850082,47
,4,-1.0,47
Administration,5,94.918007,47
,2,-1.0,422
,3,-1.0,422
,4,-1.0,422
 ,5,95.0,422
,2,-1.0,31
,3,-1.0,31
,4,-1.0,16
Stafford,5,93.571266,16
Vaughan,5,96.953781,15
,4,-1.0,10
Foreword,5,90.654213,10
by,5,96.906944,31
Mikkel,5,27.378601,9
Svane,5,85.491364,6
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
O’REILLY*,5,58.592491,18
