text,level,conf,height
,1,-1.0,662
,2,-1.0,108
,3,-1.0,108
,4,-1.0,47
Practical,5,96.372162,47
,4,-1.0,46
zZendesk,5,47.185234,46
,2,-1.0,47
,3,-1.0,47
,4,-1.0,47
Administration,5,95.616859,47
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
A,5,63.855141,9
WORLD-CLASS,5,63.855141,10
CUSTOMER,5,96.933365,10
SERVICE,5,96.860123,10
PLATFORM,5,93.623154,10
,2,-1.0,534
,3,-1.0,534
,4,-1.0,534
 ,5,95.0,534
,2,-1.0,44
,3,-1.0,44
,4,-1.0,21
Stafford,5,96.800156,17
Vaughan,5,93.108345,21
&,5,93.108345,16
Anton,5,96.9842,16
de,5,96.926826,17
Young,5,90.944099,20
,4,-1.0,17
Foreword,5,93.542931,13
by,5,96.997574,17
Mikkel,5,93.300423,14
Svane,5,92.963974,13
