text,level,conf,height
,1,-1.0,662
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
O'REILLY,5,49.730476,18
,2,-1.0,181
,3,-1.0,181
,4,-1.0,61
Programming,5,94.667595,61
,4,-1.0,47
Windows,5,95.698769,46
Store,5,96.611214,47
,4,-1.0,58
Apps,5,96.029755,57
with,5,90.580841,46
C#,5,90.580841,47
,2,-1.0,25
,3,-1.0,25
,4,-1.0,11
"IL,",5,21.006088,11
AND,5,92.81736,9
C##,5,62.582287,9
TO,5,92.362129,9
CREATE,5,92.362129,9
INNOVATIVE,5,92.77002,9
,4,-1.0,10
PLICATIONS.,5,74.722519,10
,2,-1.0,456
,3,-1.0,456
,4,-1.0,456
 ,5,95.0,456
,2,-1.0,40
,3,-1.0,40
,4,-1.0,20
Matt,5,93.262421,15
Baxter-Reynolds,5,92.687263,20
,4,-1.0,16
&,5,93.29689,16
Iris,5,91.720276,16
Classon,5,91.720276,16
