text,level,conf,height
,1,-1.0,662
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
O'REILLY”,5,40.341373,18
,2,-1.0,83
,3,-1.0,83
,4,-1.0,83
Programming,5,96.602448,83
,2,-1.0,104
,3,-1.0,104
,4,-1.0,104
IOS,5,45.25568,104
7,5,89.541107,102
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
DIVE,5,96.604668,10
DEEP,5,95.158562,10
INTO,5,96.270683,10
"VIEWS,",5,96.857903,11
VIEW,5,96.907364,10
"CONTROLLERS,",5,96.396767,11
AND,5,96.888672,10
FRAMEWORKS,5,91.340317,10
,2,-1.0,558
,3,-1.0,558
,4,-1.0,558
 ,5,95.0,558
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Matt,5,97.005424,17
Neuburg,5,89.824432,21
