text,level,conf,height
,1,-1.0,662
,2,-1.0,30
,3,-1.0,30
,4,-1.0,9
a,5,0.0,9
,4,-1.0,15
A,5,89.614708,9
Developer's,5,56.302902,15
Guide,5,96.583672,12
to,5,96.766663,9
Building,5,92.07048,15
User-Friendly,5,92.498779,13
Applications,5,94.173889,15
,2,-1.0,130
,3,-1.0,130
,4,-1.0,70
User-Centered,5,96.331665,70
,4,-1.0,63
Design,5,83.173561,60
~*,5,57.407921,51
,2,-1.0,494
,3,-1.0,494
,4,-1.0,494
 ,5,95.0,494
,2,-1.0,32
,3,-1.0,32
,4,-1.0,32
O'REILLY*,5,34.790825,32
Travis,5,93.168762,12
Lowdermilk,5,90.97142,12
