text,level,conf,height
,1,-1.0,662
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
O'REILLY,5,65.283531,22
,2,-1.0,95
,3,-1.0,95
,4,-1.0,60
Deep,5,94.633118,59
Learning,5,96.444237,60
,4,-1.0,34
for,5,96.276169,34
the,5,96.86084,33
Life,5,96.132561,34
Sciences,5,95.958435,34
,2,-1.0,75
,3,-1.0,75
,4,-1.0,23
Applying,5,96.658806,23
Deep,5,97.014008,22
Learning,5,96.905334,22
,4,-1.0,22
to,5,96.833496,15
"Genomics,",5,96.833496,19
"Microscopy,",5,96.174911,22
,4,-1.0,22
Drug,5,96.900162,21
Discovery,5,93.29377,22
&,5,93.29377,17
More,5,96.925026,16
,2,-1.0,372
,3,-1.0,372
,4,-1.0,29
 ,5,95.0,29
,4,-1.0,343
    ,5,95.0,343
,2,-1.0,424
,3,-1.0,424
,4,-1.0,424
 ,5,95.0,424
,2,-1.0,43
,3,-1.0,43
,4,-1.0,19
Bharath,5,92.001274,16
"Ramsundar,",5,83.997589,19
Peter,5,95.863945,16
"Eastman,",5,95.863945,19
,4,-1.0,21
Patrick,5,96.581345,16
Walters,5,93.275444,16
&,5,93.275444,16
Vijay,5,96.466194,21
Pande,5,96.404282,16
