text,level,conf,height
,1,-1.0,704
,2,-1.0,77
,3,-1.0,77
,4,-1.0,30
BRITISH,5,96.484985,30
BATTLESHIPS,5,96.192162,30
,4,-1.0,35
1914-18,5,95.442764,29
(1),5,96.935562,35
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
The,5,72.588684,15
Early,5,93.293785,20
Dreadnoughts,5,92.75856,20
,2,-1.0,639
,3,-1.0,639
,4,-1.0,639
 ,5,95.0,639
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
ANGUS,5,90.320274,10
KONSTAM,5,90.766235,10
ILLUSTRATED,5,94.952248,10
BY,5,96.606674,10
PAUL,5,96.826126,10
WRIGHT,5,95.394081,10
,2,-1.0,489
,3,-1.0,489
,4,-1.0,489
 ,5,95.0,489
