text,level,conf,height
,1,-1.0,651
,2,-1.0,540
,3,-1.0,540
,4,-1.0,27
eesccece,5,32.712944,27
eee,5,45.850677,27
,4,-1.0,29
Pursuing,5,96.761757,29
@ese@e,5,41.695686,26
,4,-1.0,27
eseee,5,54.160561,25
e068,5,21.470566,27
,4,-1.0,27
@ee,5,52.78595,26
theeeee,5,13.396675,27
,4,-1.0,27
ee,5,66.813568,27
*,5,14.771866,25
ee,5,72.493996,27
,4,-1.0,41
ee@e,5,36.604408,41
eeene,5,1.427383,27
,4,-1.0,25
eee,5,4.66214,25
Good,5,96.340492,23
Life,5,96.196266,23
,4,-1.0,27
eeseeee@,5,31.771042,27
@,5,68.49662,26
,4,-1.0,27
eseee,5,50.316849,27
*,5,37.90992,25
,4,-1.0,40
eeoenne,5,0.0,40
ee,5,89.162125,26
,4,-1.0,14
100,5,96.747368,11
Reflections,5,96.492722,11
on,5,96.081345,8
Positive,5,96.081345,11
Psychology,5,95.610809,14
,4,-1.0,26
eesee,5,8.823051,26
e20868,5,32.267258,26
,4,-1.0,27
@,5,80.271294,27
OD,5,72.774239,25
©,5,45.671715,25
christopher,5,80.043175,13
Peterson,5,18.605461,10
,4,-1.0,27
eeseoeneneoe,5,0.993454,27
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
 ,5,95.0,12
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
