text,level,conf,height
,1,-1.0,612
,2,-1.0,81
,3,-1.0,81
,4,-1.0,43
Meals,5,95.548759,35
in,5,96.608963,31
the,5,96.692566,35
Early,5,96.956055,43
,4,-1.0,35
Christian,5,96.433083,35
World,5,96.446846,35
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Social,5,93.279648,13
"Formation,.",5,42.421768,15
Experimentationy,5,54.348038,17
,2,-1.0,34
,3,-1.0,34
,4,-1.0,13
Dennis,5,93.304367,12
E.,5,87.201958,12
Smith,5,96.31324,13
,4,-1.0,17
and,5,0.0,13
Hal,5,91.346115,13
Taussig,5,79.041733,15
,2,-1.0,473
,3,-1.0,473
,4,-1.0,473
 ,5,95.0,473
