text,level,conf,height
,1,-1.0,792
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
ETSA\,5,32.800949,13
,2,-1.0,434
,3,-1.0,434
,4,-1.0,434
 ,5,95.0,434
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Quick,5,95.893723,10
answers,5,96.097473,7
to,5,96.094162,9
common,5,95.488922,7
problems,5,96.085831,12
,2,-1.0,95
,3,-1.0,95
,4,-1.0,49
Citrix,5,93.161369,39
XenDesktop,5,91.589577,49
5.6,5,96.62532,39
,4,-1.0,41
Cookbook,5,96.285751,41
,2,-1.0,39
,3,-1.0,39
,4,-1.0,17
Implement,5,92.641212,17
a,5,94.70137,11
fully,5,94.70137,17
featured,5,93.262314,14
XenDesktop,5,92.273262,17
5.6,5,96.552078,14
architecture,5,96.980247,14
in,5,96.05864,11
a,5,93.569443,11
rich,5,93.569443,14
,4,-1.0,18
and,5,96.996956,13
powerful,5,96.760887,18
VDI,5,96.706581,14
experience,5,96.255447,13
configuration,5,96.454308,18
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
Gaspare,5,91.927292,22
A.,5,96.039925,17
Silvestri,5,96.497513,17
,2,-1.0,80
,3,-1.0,80
,4,-1.0,80
 ,5,95.0,80
