text,level,conf,height
,1,-1.0,792
,2,-1.0,300
,3,-1.0,300
,4,-1.0,300
 ,5,95.0,300
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Community,5,94.761513,14
Experience,5,96.050858,13
Distilled,5,96.387283,11
,2,-1.0,86
,3,-1.0,86
,4,-1.0,40
Implementing,5,96.190926,39
Cloud,5,96.363266,32
Storage,5,96.784988,40
,4,-1.0,40
with,5,92.296188,31
OpenStack,5,92.289383,40
Swift,5,96.486237,32
,2,-1.0,35
,3,-1.0,35
,4,-1.0,15
Foreword,5,96.138138,12
by,5,96.97998,15
Sean,5,93.718315,12
"Roberts,",5,95.78463,14
,4,-1.0,15
Board,5,96.933372,12
Director,5,96.77681,12
at,5,96.813416,12
the,5,93.03347,12
OpenStack,5,85.427467,15
"Foundation,",5,95.828926,14
Infrastructure,5,95.680038,12
Strategy,5,96.797234,15
at,5,96.661568,12
Yahoo,5,95.856155,12
,2,-1.0,39
,3,-1.0,39
,4,-1.0,39
Amar,5,85.258087,27
Kapadia,5,85.258087,19
=,5,60.010124,27
Sreedhar,5,85.636597,27
Varma,5,96.822868,27
[,5,92.703423,30
,2,-1.0,37
,3,-1.0,37
,4,-1.0,15
*,5,85.041573,15
,4,-1.0,33
Kris,5,93.304184,15
Rajana,5,90.886169,18
J,5,2.9403,30
opensource,5,2.9403,20
