text,level,conf,height
,1,-1.0,648
,2,-1.0,348
,3,-1.0,348
,4,-1.0,348
 ,5,95.0,348
,2,-1.0,91
,3,-1.0,91
,4,-1.0,40
Splunk,5,96.248611,40
Operational,5,96.615356,40
,4,-1.0,40
Intelligence,5,96.244514,39
Cookbook,5,96.327293,32
,2,-1.0,33
,3,-1.0,33
,4,-1.0,15
Over,5,94.631691,12
70,5,96.421288,12
practical,5,95.695251,15
recipes,5,96.91526,11
to,5,95.953598,11
gain,5,95.55529,12
operational,5,96.809059,14
data,5,96.937851,11
intelligence,5,96.335396,14
with,5,96.928062,11
,4,-1.0,14
Splunk,5,96.82122,14
Enterprise,5,90.034111,14
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
PACKT),5,38.96439,19
