text,level,conf,height
,1,-1.0,792
,2,-1.0,120
,3,-1.0,120
,4,-1.0,120
 ,5,95.0,120
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
 ,5,95.0,16
,2,-1.0,33
,3,-1.0,33
,4,-1.0,33
 ,5,95.0,33
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Professional,5,95.672119,9
Expertise,5,95.842491,11
Distilled,5,95.844017,9
,2,-1.0,76
,3,-1.0,76
,4,-1.0,36
VMware,5,96.596886,29
Horizon,5,96.092041,29
6,5,96.809418,29
Desktop,5,96.70359,36
,4,-1.0,29
Virtualization,5,96.408638,29
Solutions,5,96.406158,29
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Foreword,5,95.764397,11
by,5,96.950958,14
Skip,5,93.076599,14
"Gumble,",5,89.945839,11
Director,5,94.717827,11
of,5,96.87841,11
"Sales,",5,95.058983,11
End,5,96.114281,11
User,5,96.995987,11
Computing,5,96.916626,14
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Ryan,5,96.030006,15
Cartwright,5,72.219734,15
Chuck,5,41.885761,12
Mills,5,96.444771,12
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Jason,5,96.585037,12
Langone,5,96.322762,15
Andre,5,93.173569,12
Leibovici,5,92.438828,12
,2,-1.0,88
,3,-1.0,88
,4,-1.0,88
 ,5,95.0,88
