text,level,conf,height
,1,-1.0,792
,2,-1.0,158
,3,-1.0,158
,4,-1.0,49
“LL,5,24.133553,49
,4,-1.0,100
‘,5,59.006744,22
‘,5,9.141701,100
ot,5,4.780571,63
¢,5,74.177841,28
,4,-1.0,33
ant,5,39.205631,33
x,5,79.811775,22
,4,-1.0,74
4,5,64.525284,47
ee,5,40.09201,69
eq,5,19.055923,56
[;,5,3.585754,17
,2,-1.0,47
,3,-1.0,47
,4,-1.0,47
Wireframing,5,91.854065,47
Essentials,5,96.592392,37
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
An,5,92.852066,19
introduction,5,92.852066,19
to,5,96.647369,18
user,5,96.473488,14
experience,5,96.015045,24
design,5,96.684875,24
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
Matthew,5,96.494125,17
J.,5,95.557854,17
Hamm,5,96.396164,17
[,5,90.684486,30
],5,92.999794,30
