text,level,conf,height
,1,-1.0,792
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
ADRIAN,5,96.035522,29
RAINE,5,96.460892,29
,2,-1.0,294
,3,-1.0,294
,4,-1.0,203
   ,5,95.0,203
,4,-1.0,43
  ,5,95.0,43
,4,-1.0,48
 ,5,95.0,48
,2,-1.0,264
,3,-1.0,264
,4,-1.0,95
 ,5,95.0,95
 ,5,95.0,95
,4,-1.0,169
 ,5,95.0,169
,2,-1.0,175
,3,-1.0,175
,4,-1.0,18
The,5,96.652634,18
,4,-1.0,54
ANATOMY,5,96.492928,31
e,5,30.263741,40
,4,-1.0,24
of,5,90.913147,24
,4,-1.0,57
S,5,67.912308,53
VIOLENCE,5,96.303322,29
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
The,5,96.686981,18
Biological,5,96.116325,23
Roots,5,96.920288,19
of,5,96.72155,24
Crime,5,96.652397,19
