text,level,conf,height
,1,-1.0,818
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,277
,3,-1.0,197
,4,-1.0,61
Sports,5,96.546829,61
,4,-1.0,54
Medicine,5,96.802574,54
,4,-1.0,60
Resource,5,96.624092,60
,3,-1.0,73
,4,-1.0,73
*,5,60.692726,64
Manual,5,96.163521,53
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
Peter,5,28.145462,23
H.,5,88.169586,19
Seidenberg,5,92.702835,22
&,5,92.867554,21
,2,-1.0,486
,3,-1.0,486
,4,-1.0,486
 ,5,95.0,486
,2,-1.0,472
,3,-1.0,472
,4,-1.0,472
 ,5,95.0,472
,2,-1.0,818
,3,-1.0,818
,4,-1.0,818
 ,5,95.0,818
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
