text,level,conf,height
,1,-1.0,785
,2,-1.0,193
,3,-1.0,179
,4,-1.0,62
a),5,8.570282,62
,4,-1.0,141
",-",5,4.110649,149
—,5,43.408566,102
,2,-1.0,190
,3,-1.0,190
,4,-1.0,190
phattacology,5,0.0,190
,2,-1.0,99
,3,-1.0,66
,4,-1.0,27
CASE,5,96.199203,27
STUDY,5,96.199203,27
,4,-1.0,60
WORKBOUK.,5,0.0,60
AA,5,53.153519,18
,2,-1.0,200
,3,-1.0,200
,4,-1.0,200
GS,5,46.227932,200
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Kathy,5,96.700493,21
A.,5,96.597687,17
Putman,5,96.586151,17
,2,-1.0,184
,3,-1.0,184
,4,-1.0,184
 ,5,95.0,184
,2,-1.0,126
,3,-1.0,126
,4,-1.0,126
 ,5,95.0,126
