text,level,conf,height
,1,-1.0,500
,2,-1.0,27
,3,-1.0,27
,4,-1.0,13
Edited,5,92.75425,10
by,5,96.928253,13
PWILEY-VCH,5,61.655285,10
,4,-1.0,12
Thierry,5,95.998199,12
Langer,5,66.062965,12
and,5,66.062965,9
Rémy,5,75.153618,12
D.,5,81.778816,9
Hoffmann,5,55.021366,9
mm,5,44.65794,3
=,5,96.396713,2
,2,-1.0,105
,3,-1.0,105
,4,-1.0,35
Pharmacophores,5,92.89283,35
,4,-1.0,35
and,5,93.253433,27
Pharmacophore,5,91.238937,35
,4,-1.0,27
Searches,5,96.253906,27
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
Volume,5,71.776993,10
32,5,71.776993,9
,2,-1.0,81
,3,-1.0,81
,4,-1.0,81
     ,5,95.0,81
,2,-1.0,46
,3,-1.0,46
,4,-1.0,8
Series,5,66.358932,8
Eaitors:,5,15.893974,8
,4,-1.0,7
R,5,11.435852,7
"Mannhol,",5,11.435852,7
,4,-1.0,10
"Hkubiny,",5,0.0,10
,4,-1.0,7
Folkers,5,0.0,7
